OCID,CONTRACT_TITLE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY
22,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,PUBLICACIONES METROPOLITANAS S A P I DE CV,2019-11-28,2019-12-31,430990.4,MXN
23,"“Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1””",Adjudicación directa,SECRETARIA DE GOBERNACION,"LA NUEVA TELEVISION DEL SUR, C.A.",2019-11-28,2019-12-31,396000,MXN
24,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,TELEFORMULA SA DE CV,2019-11-28,2019-12-31,10335276,MXN
25,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,GRUPO DE RADIODIFUSORAS SA DE CV,2019-11-28,2019-12-31,4297104,MXN
26,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,RED DE RADIOS COMUNITARIAS DE MEXICO AC,2019-11-28,2019-12-31,4309000,MXN
27,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,INTERMEDIA DE JUAREZ SA DE CV,2019-11-28,2019-12-31,862048.32,MXN
28,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,MEDIOS MEXICANOS INMEDIATOS SA DE CV,2019-11-28,2019-12-31,431025,MXN
29,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,GRUPO RADIO CENTRO S A B DE C V,2019-11-28,2019-12-31,1291442.28,MXN
30,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,TELEVISION Y RADIO CARIBE SA DE CV,2019-11-28,2019-12-31,430422,MXN
31,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EL ECONOMISTA GRUPO EDITORIAL SA DE CV,2019-11-28,2019-12-31,424155,MXN
32,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,"EL UNIVERSAL COMPAÑIA PERIODISTICA NACIONAL, S.A. DE C.V.",2019-11-28,2019-12-31,1809969.6,MXN
33,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,CENTRO DE CULTURA NUESTRA AMERICA AC,2019-11-28,2019-12-31,2585520,MXN
34,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,MEDIOS DEL CARIBE SA DE CV,2019-11-28,2019-12-31,343705.97,MXN
35,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,MEDIOS MASIVOS MEXICANOS SA DE CV,2019-11-28,2019-12-31,11484916.91,MXN
36,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,CONSORCIO DE COMUNICACION Y SERVICIOS ERMED SA DE CV,2019-11-28,2019-12-31,516706.59,MXN
37,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,ORGANIZACION EDITORIAL ACUARIO SA DE CV,2019-11-28,2019-12-31,1292840.11,MXN
38,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,TALLERES DEL SUR SA DE CV,2019-11-28,2019-12-31,342200,MXN
39,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EDITORIAL AGRO SINTESIS SA DE CV,2019-11-28,2019-12-31,86180,MXN
40,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,MEXICO RURAL DE DOÑA OFE SA DE CV,2019-11-28,2019-12-31,164069.84,MXN
41,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,COMUNICACION E INFORMACION SA DE CV,2019-11-28,2019-12-31,428220,MXN
42,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,CUARTOSCURO SA DE CV,2019-11-28,2019-12-31,64985.7,MXN
43,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,"EL UNIVERSAL COMPAÑIA PERIODISTICA NACIONAL, S.A. DE C.V.",2019-11-28,2019-12-31,431039.84,MXN
44,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,AVAN NOTICIAS SA DE CV,2019-11-28,2019-12-31,258577.3,MXN
45,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,COMUNICACION 2000 SA DE CV,2019-11-28,2019-12-31,1293060,MXN
46,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,SIPSE MULTIMEDIOS SA DE CV,2019-11-28,2019-12-31,860752.5,MXN
47,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,NOTICIEROS DE IMPACTO SA DE CV,2019-11-28,2019-12-31,102960,MXN
48,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,NRM COMUNICACIONES SA DE CV,2019-11-28,2019-12-31,862044,MXN
49,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,RADIO AMERICA DE MEXICO SA DE CV,2019-11-28,2019-12-31,4310040,MXN
50,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,RADIODIFUSORES MEXICANOS INDEPENDIENTES SA DE CV,2019-11-28,2019-12-31,2068863.5,MXN
51,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,NEXTMARKETING SA DE CV,2019-11-28,2019-12-31,430439,MXN
52,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,PERGOM SA DE CV,2019-11-28,2019-12-31,1293093.83,MXN
53,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,RADIORAMA SA DE CV,2019-11-28,2019-12-31,1292453,MXN
54,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,DIFUSION DE INFORMACION SA DE CV,2019-11-28,2019-12-31,409013,MXN
55,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,LA POLITICA ONLINE MEXICO SA DE CV,2019-11-28,2019-12-31,428538,MXN
56,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,"EXPANSION, SA DE CV",2019-11-28,2019-12-31,300906.8,MXN
57,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,SAIO SERVICIOS SA DE CV,2019-11-28,2019-12-31,310338,MXN
58,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,AMX CONTENIDO SA DE CV,2019-11-28,2019-12-31,1724092.2,MXN
59,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,5M2 ANDENES S A P I DE CV,2019-11-28,2019-12-31,1289400,MXN
60,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,COMERCIALIZADORA IMU SA DE CV,2019-11-28,2019-12-31,861992,MXN
61,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,ETAPA DOS SA DE CV,2019-11-28,2019-12-31,3011548.8,MXN
62,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,INICIATIVA RADIOFONICA MEXICANA S DE RL DE CV,2019-11-28,2019-12-31,1293087,MXN
63,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,INFORMACION INTEGRAL 24/7 S A P I DE CV,2019-11-28,2019-12-31,427330,MXN
64,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,L.R.H.G. INFORMATIVO SA DE CV,2019-11-28,2019-12-31,861641,MXN
65,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EDITORIAL OVACIONES SA DE CV,2019-11-28,2019-12-31,429108.64,MXN
66,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,"LA CRONICA DIARIA, S.A. DE C.V.",2019-11-28,2019-12-31,340416,MXN
67,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,EDICION Y PUBLICIDAD DE MEDIOS DE LOS ESTADOS S DE RL DE CV,2019-11-28,2019-12-31,6490064.28,MXN
68,"Servicios de difusión en Televisión, Radio, Medios Impresos, Medios Digitales y Medios Complementarios para la Campaña: “El Tren Maya”, Versión: “Tren Maya 1”",Adjudicación directa,SECRETARIA DE GOBERNACION,ORGANIZACION EDITORIAL MEXICANA SA DE CV,2019-11-28,2019-12-31,428913,MXN
69,Servicio para realizar el Estudio de Capacidad de Carga Turística en las localidades donde se ubicarán las Estaciones del Tren Maya,Invitación a cuando menos tres personas,SECRETARIA DE TURISMO,"BUFETTE DE CONSULTORÍA AMBIENTAL E INDUSTRIAL, S.C.P.",2019-11-25,2019-12-27,597400,MXN
70,"DISEÑO Y CONSTRUCCIÓN DE STAND, PARA LA PROMOCIÓN DEL TREN MAYA",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"TOLKA ESTUDIO, SC",2019-03-26,2019-11-06,420534.79,MXN
71,CARAVANA INFORMATIVA” (EL TREN QUE NOS UNE),Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"EL JUEGO DE LLAVES, SA DE CV",2019-03-19,2019-11-15,25228915.89,MXN
72,"Asesoría técnica en el programa maestro, preselección de trazo y estimación de demanda del Tren Maya",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,STEER DAVIES & GLEAVE MEXICO SA DE CV,2019-03-19,2019-12-31,23870000,MXN
73,Servicio de Asesoría Legal para la Estructuración Jurídica del Tren Maya ,Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,WOODHOUSE LORENTE LUDLOW SC,2019-03-19,2020-04-30,44000000,MXN
74,Asesoría económico-financiera para la estructuración del Tren Maya,Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,PRICEWATERHOUSECOOPERS SC,2019-03-19,2019-12-31,32000000,MXN
75,"ASISTENCIA TÉCNICA PARA LA COORDINACIÓN FONATUR-ONU HABITAT EN EL DESARROLLO DE UN PROGRAMA INTEGRAL TERRITORIAL DE LA REGIÓN SURESTE DE MÉXICO, Y ELABORACIÓN DE INSUMOS ESTRATÉGICOS PARA FORTALECER LA INTEGRACIÓN DE LAS VOCACIONES ECONÓMICAS DE LAS MICRORREGIONES CON LA DEMANDA DE TRANSPORTE DE CARGA DEL TREN MAYA",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"ECLECSIS SINERGIA Y TECNOLOGIA, S DE RL DE CV",2019-06-17,2020-01-13,11262382,MXN
76,"Asesoría Técnica del Tren Maya para la Estructuración del Proyecto Integral, la Contratación de la Ingeniería Básica y la Supervisión Técnica de dicha Ingeniería Básica",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,MEXTYPSA SA DE CV,2019-05-02,2020-12-05,59552659.52,MXN
77,INGENIERÍA BÁSICA PARA EL TREN MAYA,Licitación pública,FONDO NACIONAL DE FOMENTO AL TURISMO,KEY CAPITAL S A P I DE CV,2019-08-23,2020-04-23,298987654.32,MXN
78,"Proyecto de Plan Maestro para el Polo de Desarrollo del Tren Maya en Palenque, Chiapas",Invitación a cuando menos tres personas,FONDO NACIONAL DE FOMENTO AL TURISMO,ECOLOGIA Y ACCION URBANA SA DE CV,2019-09-02,2020-05-18,3330793.23,MXN
79,"Servicios Integrales de Logística para la Participación del Proyecto Tren Maya, en Evento",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"TOLKA ESTUDIO, SC",2019-08-01,2019-12-30,299221,MXN
80,Trabajos Técnico-Jurídicos para la Identificación y Liberación de Áreas de Afectación para la Constitución del Derecho de Vía del Proyecto Denominado Tren Maya,Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,BYA BARRIENTOS Y ASOCIADOS SA DE CV,2019-08-14,2020-09-30,62408000,MXN
81,"SERVICIOS PARA LA CARACTERIZACIÓN GENERAL DE USO DE SUELO EN DIFERENTES PUNTOS REPRESENTATIVOS DEL TRAZO DEL PROYECTO “TREN MAYA” EN LOS TRAMOS CHIAPAS, TABASCO, YUCATÁN Y CAMPECHE",Invitación a cuando menos tres personas,FONDO NACIONAL DE FOMENTO AL TURISMO,"LAW, SOCIAL AND AGRO ADVISORS SC",2019-09-26,2019-10-25,1465652.9,MXN
82,"Estudio de Disponibilidad de Suelo para Crecimiento Urbano del Polo de Desarrollo en la Ciudad de Mérida, Yucatán",Invitación a cuando menos tres personas,FONDO NACIONAL DE FOMENTO AL TURISMO,"T DE ENRIQUE NORTEN ARQUITECTOS, S.C.",2019-09-18,2020-05-18,3749096.42,MXN
83,"PROPUESTA CONCEPTUAL PARA EL DESARROLLO TURÍSTICO DE LA REGIÓN CONHUÁS, CAMPECHE",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"CANO VERA URBANISMO Y ARQUITECTURA, S.A. DE C.V.",2019-11-19,2020-05-18,575628.89,MXN
84,SERVICIOS INTEGRALES DE LOGÍSTICA,Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"TOLKA ESTUDIO, SC",2019-11-21,2019-11-24,439870.84,MXN
85,"ESTUDIOS DE INGENIERÍAS DEL SITIO PARA LA ESTACIÓN DEL TREN MAYA EN PALENQUE, CHIAPAS.",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,GEORTEC S.A. de C.V.,2019-11-20,2020-05-18,685866.3,MXN
86,"SERVICIO DE ARRENDAMIENTO TEMPORAL DE TRES CAMIONETAS SEMINUEVAS, SIN OPCIÓN A COMPRA, PARA EL USO DEL PERSONAL EN LAS ACTIVIDADES DE OPERACIÓN DEL PROYECTO TREN MAYA",Adjudicación directa,"FONATUR Tren Maya, S.A. de C.V.",JET VAN CAR RENTAL SA DE CV,2019-10-01,2019-12-31,196020,MXN
87,"Anteproyecto Arquitectónico De Estación  Del Tren Maya De Tenosique, Tabasco",Invitación a cuando menos tres personas,FONDO NACIONAL DE FOMENTO AL TURISMO,"AZ DISEÑO INTEGRAL, S.A. DE C.V.",2019-10-23,2020-05-18,1779353.4,MXN
88,"SERVICIO DE APOYO ADMINISTRATIVO Y OPERATIVO INHERENTES A PLANEACIÓN, PROGRAMACIÓN Y DESARROLLO DE INFRAESTRUCTURA FERROVIARIA EN EL SURESTE MEXICO, CORRESPONDIENTE AL TREN MAYA",Contratos entre entes públicos,"FONATUR Tren Maya, S.A. de C.V.","FONATUR INFRAESTRUCTURA, S.A. DE C.V.",2019-01-01,2019-03-31,19555043.22,MXN
89,"SERVICIO DE APOYO ADMINISTRATIVO Y OPERATIVO INHERENTES A PLANEACIÓN, PROGRAMACIÓN Y DESARROLLO DE INFRAESTRUCTURA FERROVIARIA EN EL SURESTE MÉXICO, CORRESPONDIENTE AL TREN MAYA",Contratos entre entes públicos,"FONATUR Tren Maya, S.A. de C.V.","FONATUR INFRAESTRUCTURA, S.A. DE C.V.",2019-04-01,2019-07-31,21012244.81,MXN
90,"SERVICIOS PARA LA ELABORACIÓN DE DICTAMEN Y ANÁLISIS ESTRUCTURAL DE LA INFRAESTRUCTURA FERROVIARIA PUENTE BOCA DEL CERRO TENOSIQUE, TABASCO",Adjudicación directa,FONDO NACIONAL DE FOMENTO AL TURISMO,"COSMOS PROYECTOS ESTRUCTURALES, S.A. DE C.V.",2019-10-09,2020-01-13,150000,MXN
